Issue Key,Issue Type,Summary,Description,Sprint,Status,Epic Link,Time Spent (min)
D9X-1,Epic,day_9x — AI teammate's first-90-days onboarding demo (Watkins-grounded),"Five-Conversations charter, STARS selector, shadow-mode RAG, gated early wins, eval-gated probation, breakeven curve + day-9x checkpoint reports. Public HF Space, $0 keyless.",,In Progress,,
D9X-2,Story,Scaffold repo + config.py shared contract + docs skeleton,"config.py is the shared contract: task classes, STARS pacing, trust states, value model, attribution.",Sprint 1,Done,D9X-1,20
D9X-3,Story,Synthetic team data generator,"6 runbooks, unwritten-rules doc (coachable Skill), 10-task backlog with escalation trap, recon figures, 21-case golden set. All synthetic.",Sprint 1,Done,D9X-1,35
D9X-4,Story,RAG shadow engine,"Structure-aware chunking + contextual chunk headers, local ONNX embeddings, citations, abstain guardrail.",Sprint 1,Done,D9X-1,30
D9X-5,Story,Charter module (Five Conversations + STARS + duration to sprint snapshot),"Situation/expectations/style/resources/development; STARS sets phase pacing; duration re-derives sprints + day-9x checkpoints.",Sprint 1,Done,D9X-1,30
D9X-6,Story,Agent core (draft / scoped-task / escalate),"Deterministic backbones for triage, recon, DQ-rule authoring + helpful-abstain escalation; optional Haiku enrichment.",Sprint 1,Done,D9X-1,35
D9X-7,Story,Task board + approval gates + coaching loop,"Approve/reject/escalate; per-class trust state machine; coach writes a Skill and reindexes.",Sprint 1,Done,D9X-1,25
D9X-8,Story,Eval harness + per-task-class trust ledger,"Per-class eval gates; exit-code gates promotion; 2 culture cases red until coached.",Sprint 1,Done,D9X-1,30
D9X-9,Story,Breakeven ledger + day-9x checkpoint reports,"Value consumed vs created in analyst-hours; STARS-differentiated curve; 9-day stakeholder reports.",Sprint 2,Done,D9X-1,30
D9X-10,Story,Streamlit assembly (5 tabs + duration control + STARS selector),"Charter / Shadow / Early wins / Probation review / Breakeven+Retro; hiring-manager sidebar.",Sprint 2,Done,D9X-1,40
D9X-11,Story,Unit tests + QA run,"test_day9x.py: 15 tests green (sprint math, agent backbone, escalation, trust machine, coaching loop, breakeven).",Sprint 2,Done,D9X-1,25
D9X-12,Story,README (HF front-matter + Watkins credit) + DEPLOY_HF + PROMPTS_LOG + retro,"Docs complete; POV/STORY pointers.",Sprint 2,Done,D9X-1,25
D9X-13,Story,Push all commits to GitHub,"Needs GitHub PAT at push time — deliberately not stored.",Sprint 2,Blocked,D9X-1,
D9X-14,Story,Deploy to HuggingFace Spaces (public $0 keyless),"Needs HF token; follows the push. Never set ANTHROPIC_API_KEY as a secret on a public Space.",Sprint 2,Blocked,D9X-1,
D9X-15,Story,Demo walkthrough script + SPRINT_RETRO + stakeholder PPT,"DEMO_WALKTHROUGH.md, SPRINT_RETRO.md, and make_deck.py -> day_9x_stakeholder_deck.pptx.",Sprint 2,Done,D9X-1,30
